Latitude,Longitude,Country
55.7386,37.6068,Russia
45.8249,-88.066,United States
55.7386,37.6068,Russia
44.4176,26.1708,Romania
44.4176,26.1708,Romania
55.7386,37.6068,Russia
55.7386,37.6068,Russia
55.7386,37.6068,Russia
44.4176,26.1708,Romania
14.8333,-91.5167,Guatemala
55.7386,37.6068,Russia
45.9968,24.997,Romania
55.7386,37.6068,Russia
37.5625,-122.0004,United States
55.7386,37.6068,Russia
55.7386,37.6068,Russia
30.294,120.1619,China
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
51.2993,9.491,Germany
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
43.6319,-79.3716,Canada
55.7386,37.6068,Russia
45.8249,-88.066,United States
55.7386,37.6068,Russia
22.5333,114.1333,China
55.7386,37.6068,Russia
15.8794,108.335,Vietnam
37.5112,126.9741,South Korea
47.0188,28.8128,Republic of Moldova
34.3372,108.7027,China
55.7386,37.6068,Russia
57.0,25.0,Latvia
55.7386,37.6068,Russia
56.0,24.0,Republic of Lithuania
56.0,24.0,Republic of Lithuania
57.0,25.0,Latvia
56.0,24.0,Republic of Lithuania
45.8249,-88.066,United States
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
45.9968,24.997,Romania
32.816,34.9821,Israel
55.7386,37.6068,Russia
55.7386,37.6068,Russia
37.751,-97.822,United States
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
44.4176,26.1708,Romania
44.4176,26.1708,Romania
37.7353,-122.3732,United States
37.751,-97.822,United States
55.7386,37.6068,Russia
65.0,-18.0,Iceland
57.0,25.0,Latvia
55.7386,37.6068,Russia
51.2993,9.491,Germany
56.0,24.0,Republic of Lithuania
55.7386,37.6068,Russia
41.7333,24.4,Bulgaria
40.793,-74.0247,United States
57.0,25.0,Latvia
55.7386,37.6068,Russia
45.9968,24.997,Romania
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
55.7386,37.6068,Russia
55.7386,37.6068,Russia
36.0564,103.7922,China
36.0564,103.7922,China
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
39.9288,116.3889,China
28.6504,77.2372,India
44.4176,26.1708,Romania
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
51.2993,9.491,Germany
56.0,24.0,Republic of Lithuania
34.7725,113.7266,China
39.9288,116.3889,China
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
37.751,-97.822,United States
49.982,36.2566,Ukraine
49.982,36.2566,Ukraine
55.7386,37.6068,Russia
47.0188,28.8128,Republic of Moldova
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
28.8413,-111.0406,Mexico
21.0313,105.8516,Vietnam
21.0313,105.8516,Vietnam
21.0313,105.8516,Vietnam
56.4216,53.7757,Russia
56.4216,53.7757,Russia
55.7386,37.6068,Russia
-6.175,106.8286,Indonesia
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
22.25,114.1667,Hong Kong
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
40.6522,109.8222,China
40.6522,109.8222,China
57.0,25.0,Latvia
51.4964,-0.1224,United Kingdom
51.4964,-0.1224,United Kingdom
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
28.55,115.9333,China
55.7386,37.6068,Russia
57.0,25.0,Latvia
27.9983,120.6666,China
27.9983,120.6666,China
55.7386,37.6068,Russia
41.7806,123.4312,China
55.7386,37.6068,Russia
48.8582,2.3387,France
48.8582,2.3387,France
43.6319,-79.3716,Canada
44.4176,26.1708,Romania
44.4176,26.1708,Romania
48.8607,2.3281,France
35.8719,14.4411,Malta
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
57.0,25.0,Latvia
39.9289,116.3883,China
32.0617,118.7778,China
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
51.2993,9.491,Germany
57.0,25.0,Latvia
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
44.4176,26.1708,Romania
52.3824,4.8995,Netherlands
57.0,25.0,Latvia
37.751,-97.822,United States
45.9968,24.997,Romania
41.0311,21.3403,North Macedonia
55.7386,37.6068,Russia
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
37.751,-97.822,United States
41.7333,24.4,Bulgaria
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
44.4176,26.1708,Romania
32.0617,118.7778,China
55.7386,37.6068,Russia
39.9289,116.3883,China
39.9289,116.3883,China
31.0449,121.4012,China
60.1717,24.9349,Finland
60.1717,24.9349,Finland
55.7386,37.6068,Russia
56.0,24.0,Republic of Lithuania
56.0,24.0,Republic of Lithuania
47.0188,28.8128,Republic of Moldova
38.5918,-123.1965,United States
22.25,114.1667,Hong Kong
22.25,114.1667,Hong Kong
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
-6.6983,107.2753,Indonesia
55.7386,37.6068,Russia
55.7386,37.6068,Russia
35.698,51.4115,Iran
35.698,51.4115,Iran
35.698,51.4115,Iran
57.0,25.0,Latvia
55.7386,37.6068,Russia
38.0397,-1.3531,Spain
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
41.1167,122.05,China
44.4176,26.1708,Romania
44.4176,26.1708,Romania
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
28.4597,77.0282,India
28.4597,77.0282,India
28.4597,77.0282,India
43.6319,-79.3716,Canada
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
56.4216,53.7757,Russia
56.4216,53.7757,Russia
57.0,25.0,Latvia
45.8249,-88.066,United States
57.0,25.0,Latvia
26.6434,110.131,China
-3.7196,-38.5257,Brazil
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
51.2993,9.491,Germany
57.0,25.0,Latvia
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
47.0188,28.8128,Republic of Moldova
55.7386,37.6068,Russia
56.0,24.0,Republic of Lithuania
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
23.0276,72.5871,India
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
39.9288,116.3889,China
44.4176,26.1708,Romania
16.0023,105.9999,Vietnam
16.0023,105.9999,Vietnam
16.0023,105.9999,Vietnam
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
52.3615,4.6419,Netherlands
40.6522,109.8222,China
55.7386,37.6068,Russia
41.7333,24.4,Bulgaria
57.0,25.0,Latvia
55.7386,37.6068,Russia
55.7386,37.6068,Russia
22.2909,114.15,Hong Kong
55.7386,37.6068,Russia
56.0,24.0,Republic of Lithuania
40.3909,49.8759,Azerbaijan
40.3909,49.8759,Azerbaijan
40.3909,49.8759,Azerbaijan
31.0449,121.4012,China
45.9968,24.997,Romania
55.7386,37.6068,Russia
45.8249,-88.066,United States
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
34.7725,113.7266,China
55.7386,37.6068,Russia
45.8249,-88.066,United States
-4.7034,55.5206,Seychelles
55.7386,37.6068,Russia
57.0,25.0,Latvia
55.7386,37.6068,Russia
55.7386,37.6068,Russia
47.0188,28.8128,Republic of Moldova
37.751,-97.822,United States
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
44.4176,26.1708,Romania
55.7386,37.6068,Russia
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
10.179,-67.9991,Venezuela
10.179,-67.9991,Venezuela
10.179,-67.9991,Venezuela
-23.4442,-46.9178,Brazil
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
20.8567,106.6826,Vietnam
20.8567,106.6826,Vietnam
20.8567,106.6826,Vietnam
55.7386,37.6068,Russia
37.751,-97.822,United States
51.2993,9.491,Germany
60.1717,24.9349,Finland
60.1717,24.9349,Finland
44.4176,26.1708,Romania
44.4176,26.1708,Romania
55.7386,37.6068,Russia
12.9721,77.5933,India
44.4176,26.1708,Romania
55.7386,37.6068,Russia
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
51.5132,-0.0961,United Kingdom
51.5132,-0.0961,United Kingdom
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
46.8167,25.5167,Romania
57.0,25.0,Latvia
-22.4702,-50.6453,Brazil
55.7386,37.6068,Russia
59.3307,18.0718,Sweden
37.751,-97.822,United States
56.4216,53.7757,Russia
51.2993,9.491,Germany
57.0,25.0,Latvia
55.7386,37.6068,Russia
45.8249,-88.066,United States
30.294,120.1619,China
57.0,25.0,Latvia
52.3824,4.8995,Netherlands
-4.7034,55.5206,Seychelles
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
3.4384,-76.5232,Colombia
57.0,25.0,Latvia
45.9968,24.997,Romania
37.751,-97.822,United States
43.6319,-79.3716,Canada
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
16.0685,108.2215,Vietnam
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
41.0311,21.3403,North Macedonia
55.7386,37.6068,Russia
