Latitude,Longitude,Country
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
45.9968,24.997,Romania
41.7333,24.4,Bulgaria
47.0188,28.8128,Republic of Moldova
55.7386,37.6068,Russia
45.9968,24.997,Romania
57.0,25.0,Latvia
55.7386,37.6068,Russia
45.9968,24.997,Romania
55.7386,37.6068,Russia
55.7386,37.6068,Russia
45.9968,24.997,Romania
not found,not found,not found
45.9968,24.997,Romania
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
55.7386,37.6068,Russia
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
45.9968,24.997,Romania
48.8582,2.3387,France
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
45.9968,24.997,Romania
55.7386,37.6068,Russia
55.7386,37.6068,Russia
55.7386,37.6068,Russia
57.0,25.0,Latvia
43.6319,-79.3716,Canada
59.8981,30.2619,Russia
47.0188,28.8128,Republic of Moldova
55.7386,37.6068,Russia
51.2993,9.491,Germany
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
45.9968,24.997,Romania
59.8981,30.2619,Russia
57.0,25.0,Latvia
55.7386,37.6068,Russia
47.0188,28.8128,Republic of Moldova
55.7386,37.6068,Russia
-4.7034,55.5206,Seychelles
52.3824,4.8995,Netherlands
45.9968,24.997,Romania
37.751,-97.822,United States
18.7386,99.1157,Thailand
55.7386,37.6068,Russia
45.9968,24.997,Romania
57.0,25.0,Latvia
48.8582,2.3387,France
55.7386,37.6068,Russia
45.8249,-88.066,United States
30.6667,104.0667,China
57.0,25.0,Latvia
45.9968,24.997,Romania
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
55.7386,37.6068,Russia
55.7386,37.6068,Russia
57.0,25.0,Latvia
44.4176,26.1708,Romania
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
9.0,-80.0,Panama
57.0,25.0,Latvia
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
57.0,25.0,Latvia
48.8582,2.3387,France
55.7386,37.6068,Russia
45.9968,24.997,Romania
55.7386,37.6068,Russia
59.8981,30.2619,Russia
55.7386,37.6068,Russia
45.9968,24.997,Romania
57.0,25.0,Latvia
57.0,25.0,Latvia
25.2633,55.3087,United Arab Emirates
55.7386,37.6068,Russia
45.9968,24.997,Romania
41.7333,24.4,Bulgaria
55.7386,37.6068,Russia
42.696,23.332,Bulgaria
55.7386,37.6068,Russia
55.7386,37.6068,Russia
47.0188,28.8128,Republic of Moldova
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
55.7386,37.6068,Russia
55.7386,37.6068,Russia
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
48.8582,2.3387,France
57.0,25.0,Latvia
55.7386,37.6068,Russia
45.8249,-88.066,United States
56.4216,53.7757,Russia
55.7386,37.6068,Russia
57.0,25.0,Latvia
55.7386,37.6068,Russia
-4.7034,55.5206,Seychelles
37.751,-97.822,United States
47.0188,28.8128,Republic of Moldova
55.7386,37.6068,Russia
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
45.9968,24.997,Romania
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
51.2993,9.491,Germany
45.9968,24.997,Romania
45.9968,24.997,Romania
40.793,-74.0247,United States
57.0,25.0,Latvia
45.9968,24.997,Romania
55.7386,37.6068,Russia
45.9968,24.997,Romania
55.7386,37.6068,Russia
44.4176,26.1708,Romania
52.3824,4.8995,Netherlands
49.405,11.1617,Germany
57.0,25.0,Latvia
59.8981,30.2619,Russia
55.7386,37.6068,Russia
25.0478,121.5318,Taiwan
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
55.7386,37.6068,Russia
55.7386,37.6068,Russia
55.7386,37.6068,Russia
45.9968,24.997,Romania
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
57.0,25.0,Latvia
57.0,25.0,Latvia
55.7386,37.6068,Russia
57.0,25.0,Latvia
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
57.0,25.0,Latvia
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
45.9968,24.997,Romania
57.0,25.0,Latvia
56.4,38.7167,Russia
55.7386,37.6068,Russia
51.5132,-0.0961,United Kingdom
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
55.7386,37.6068,Russia
45.8249,-88.066,United States
30.008,31.2194,Egypt
30.008,31.2194,Egypt
30.008,31.2194,Egypt
44.4176,26.1708,Romania
43.6319,-79.3716,Canada
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
59.8981,30.2619,Russia
55.7386,37.6068,Russia
51.4964,-0.1224,United Kingdom
59.8981,30.2619,Russia
52.3824,4.8995,Netherlands
51.2993,9.491,Germany
55.7386,37.6068,Russia
55.7386,37.6068,Russia
55.7386,37.6068,Russia
56.4216,53.7757,Russia
57.0,25.0,Latvia
57.0,25.0,Latvia
52.3824,4.8995,Netherlands
-4.7034,55.5206,Seychelles
55.7386,37.6068,Russia
51.2993,9.491,Germany
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
45.9968,24.997,Romania
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
55.7386,37.6068,Russia
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
47.0188,28.8128,Republic of Moldova
57.0,25.0,Latvia
52.3824,4.8995,Netherlands
45.8249,-88.066,United States
7.2,-62.05,Venezuela
45.9968,24.997,Romania
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
55.7386,37.6068,Russia
45.9968,24.997,Romania
41.7333,24.4,Bulgaria
45.9968,24.997,Romania
56.4216,53.7757,Russia
52.3824,4.8995,Netherlands
65.0,-18.0,Iceland
37.751,-97.822,United States
56.4216,53.7757,Russia
47.0188,28.8128,Republic of Moldova
45.9968,24.997,Romania
45.9968,24.997,Romania
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
45.9968,24.997,Romania
55.7386,37.6068,Russia
9.0,-80.0,Panama
55.7386,37.6068,Russia
57.0,25.0,Latvia
37.751,-97.822,United States
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
47.5774,8.5212,Switzerland
47.0188,28.8128,Republic of Moldova
57.0,25.0,Latvia
45.8249,-88.066,United States
55.7386,37.6068,Russia
45.9968,24.997,Romania
55.7386,37.6068,Russia
57.0,25.0,Latvia
55.7386,37.6068,Russia
55.7386,37.6068,Russia
51.2993,9.491,Germany
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
57.0,25.0,Latvia
55.7386,37.6068,Russia
51.2993,9.491,Germany
55.7386,37.6068,Russia
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
47.0188,28.8128,Republic of Moldova
55.7386,37.6068,Russia
55.7386,37.6068,Russia
55.7386,37.6068,Russia
56.4216,53.7757,Russia
35.0,105.0,None
44.4176,26.1708,Romania
52.3824,4.8995,Netherlands
45.9968,24.997,Romania
55.7386,37.6068,Russia
45.8249,-88.066,United States
57.0,25.0,Latvia
45.9968,24.997,Romania
57.0,25.0,Latvia
45.9968,24.997,Romania
57.0,25.0,Latvia
55.7386,37.6068,Russia
59.8981,30.2619,Russia
55.7386,37.6068,Russia
45.8249,-88.066,United States
55.7386,37.6068,Russia
51.2993,9.491,Germany
47.0188,28.8128,Republic of Moldova
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
7.9833,98.3662,Thailand
57.0,25.0,Latvia
52.3824,4.8995,Netherlands
59.8981,30.2619,Russia
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
47.0188,28.8128,Republic of Moldova
55.7386,37.6068,Russia
55.7386,37.6068,Russia
57.0,25.0,Latvia
45.9968,24.997,Romania
55.7386,37.6068,Russia
45.9968,24.997,Romania
55.7386,37.6068,Russia
55.7386,37.6068,Russia
45.8249,-88.066,United States
57.0,25.0,Latvia
57.0,25.0,Latvia
55.7386,37.6068,Russia
55.7386,37.6068,Russia
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
37.5985,126.9783,South Korea
55.7386,37.6068,Russia
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
57.0,25.0,Latvia
55.7386,37.6068,Russia
55.7386,37.6068,Russia
45.9968,24.997,Romania
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
57.0,25.0,Latvia
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
45.8249,-88.066,United States
52.3824,4.8995,Netherlands
9.7269,-63.2142,Venezuela
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
52.1877,20.9968,Poland
43.6319,-79.3716,Canada
52.3824,4.8995,Netherlands
45.9968,24.997,Romania
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
47.0188,28.8128,Republic of Moldova
45.8249,-88.066,United States
41.7333,24.4,Bulgaria
59.8981,30.2619,Russia
45.9968,24.997,Romania
51.2993,9.491,Germany
55.7386,37.6068,Russia
-4.7034,55.5206,Seychelles
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
55.7386,37.6068,Russia
47.0188,28.8128,Republic of Moldova
57.0,25.0,Latvia
55.7386,37.6068,Russia
47.0188,28.8128,Republic of Moldova
52.3824,4.8995,Netherlands
57.0,25.0,Latvia
57.0,25.0,Latvia
55.7386,37.6068,Russia
59.8981,30.2619,Russia
45.9968,24.997,Romania
10.2494,-67.5945,Venezuela
10.2494,-67.5945,Venezuela
10.2494,-67.5945,Venezuela
39.7932,-86.2132,United States
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
57.0,25.0,Latvia
55.7386,37.6068,Russia
55.7386,37.6068,Russia
55.7386,37.6068,Russia
37.751,-97.822,United States
52.3824,4.8995,Netherlands
57.0,25.0,Latvia
57.0,25.0,Latvia
55.7386,37.6068,Russia
47.0188,28.8128,Republic of Moldova
55.7386,37.6068,Russia
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
59.8981,30.2619,Russia
55.7386,37.6068,Russia
57.0,25.0,Latvia
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
16.0023,105.9999,Vietnam
45.0355,38.975,Russia
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
37.751,-97.822,United States
57.0,25.0,Latvia
21.5197,70.4598,India
44.4176,26.1708,Romania
-4.7034,55.5206,Seychelles
52.3824,4.8995,Netherlands
45.9968,24.997,Romania
41.7333,24.4,Bulgaria
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
37.751,-97.822,United States
55.7386,37.6068,Russia
45.9968,24.997,Romania
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
55.7386,37.6068,Russia
45.9968,24.997,Romania
45.9968,24.997,Romania
55.7386,37.6068,Russia
47.0188,28.8128,Republic of Moldova
45.9968,24.997,Romania
45.9968,24.997,Romania
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
45.9968,24.997,Romania
51.2993,9.491,Germany
57.0,25.0,Latvia
45.9968,24.997,Romania
37.751,-97.822,United States
55.7386,37.6068,Russia
55.7386,37.6068,Russia
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
57.0,25.0,Latvia
56.4216,53.7757,Russia
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
57.0,25.0,Latvia
55.7386,37.6068,Russia
55.7386,37.6068,Russia
55.7386,37.6068,Russia
57.0,25.0,Latvia
55.7386,37.6068,Russia
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
47.0188,28.8128,Republic of Moldova
29.8782,121.5495,China
57.0,25.0,Latvia
55.7386,37.6068,Russia
50.1188,8.6843,Germany
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
43.6319,-79.3716,Canada
52.3534,4.9087,Netherlands
55.7386,37.6068,Russia
55.7386,37.6068,Russia
45.8249,-88.066,United States
55.7386,37.6068,Russia
55.7386,37.6068,Russia
41.7333,24.4,Bulgaria
55.7386,37.6068,Russia
51.4964,-0.1224,United Kingdom
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
59.8981,30.2619,Russia
52.3824,4.8995,Netherlands
45.9968,24.997,Romania
45.9968,24.997,Romania
17.2528,-88.7465,Belize
52.3824,4.8995,Netherlands
47.0188,28.8128,Republic of Moldova
55.7386,37.6068,Russia
57.0,25.0,Latvia
55.7386,37.6068,Russia
55.7386,37.6068,Russia
51.2993,9.491,Germany
17.2528,-88.7465,Belize
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
55.7386,37.6068,Russia
55.7386,37.6068,Russia
17.2528,-88.7465,Belize
10.0603,-66.4656,Venezuela
17.2528,-88.7465,Belize
55.7386,37.6068,Russia
55.7386,37.6068,Russia
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
57.0,25.0,Latvia
57.0,25.0,Latvia
52.3824,4.8995,Netherlands
52.3824,4.8995,Netherlands
47.0188,28.8128,Republic of Moldova
48.8607,2.3281,France
45.9968,24.997,Romania
55.7386,37.6068,Russia
55.7386,37.6068,Russia
59.8981,30.2619,Russia
55.7386,37.6068,Russia
57.0,25.0,Latvia
55.7386,37.6068,Russia
52.3824,4.8995,Netherlands
57.0,25.0,Latvia
45.8249,-88.066,United States
47.0188,28.8128,Republic of Moldova
55.7386,37.6068,Russia
55.7386,37.6068,Russia
55.7386,37.6068,Russia
57.0,25.0,Latvia
52.3824,4.8995,Netherlands
55.7386,37.6068,Russia
